iter	Passed	Remaining
111	336679	1166354
112	340416	1165852
113	344597	1166796
114	348235	1165832
115	351874	1164825
116	355304	1163090
117	359067	1162405
118	362586	1160884
119	366138	1159440
120	369580	1157610
121	373221	1156373
122	376660	1154481
123	380298	1153161
124	383857	1151573
125	387633	1150593
126	391497	1149829
127	395126	1148335
128	398770	1146851
129	402151	1144584
130	405636	1142593
131	409035	1140341
132	412513	1138288
133	415875	1135898
134	419374	1133865
135	422815	1131651
136	427161	1131822
137	431038	1130694
138	435184	1130227
139	439119	1129164
140	443015	1127962
141	447229	1127522
142	450696	1125164
143	454272	1123062
144	457813	1120853
145	461630	1119294
146	465008	1116652
147	468735	1114830
148	472240	1112459
149	476122	1110952
150	480031	1109476
151	484341	1108887
152	487988	1106746
153	491883	1105141
154	495676	1103278
155	500106	1102798
156	503877	1100828
157	507486	1098484
158	511475	1096938
159	515154	1094704
160	518992	1092784
161	522402	1089950
162	526021	1087541
163	529491	1084811
164	533101	1082358
165	536579	1079623
166	540527	1077817
167	544252	1075546
168	548059	1073417
169	552772	1073029
170	557393	1072412
171	561697	1071144
172	565644	1069166
173	569135	1066311
174	572821	1063811
175	576196	1060726
176	579790	1058035
177	583127	1054871
178	586668	1052070
179	589965	1048827
180	593482	1045971
181	596835	1042822
182	600378	1039999
183	603776	1036920
184	607249	1033965
185	610663	1030905
186	614053	1027801
187	617290	1024440
188	620510	1021051
189	623345	1017037
190	626441	1013457
191	629317	1009530
192	632417	1005969
193	635197	1001909
194	638295	998360
195	641092	994347
196	644181	990797
197	647040	986900
198	650129	983361
199	653006	979509
200	656081	975961
201	658990	972174
202	662083	968664
203	665002	964905
204	668158	961496
205	671035	957691
206	674158	954243
207	677041	950461
208	680149	947002
209	682989	943175
210	686079	939701
211	688973	935964
212	692023	932445
213	695032	928874
214	698067	925345
215	701083	921794
216	704044	918177
217	707080	914663
218	710022	911033
219	713043	907509
220	715933	903825
221	718974	900338
222	721866	896668
223	724881	893157
224	727783	889513
225	730805	886020
226	733784	882481
227	736791	878979
228	739816	875503
229	742868	872063
230	745879	868578
231	748913	865124
232	751962	861690
233	754993	858240
234	757999	854765
235	761059	851355
236	764015	847831
237	766990	844334
238	769985	840862
239	772888	837296
240	775957	833912
241	778866	830362
242	781852	826897
243	784825	823423
244	788249	820422
245	791625	817369
246	795141	814457
247	798010	810881
248	801106	807540
249	804018	804018
250	807042	800611
251	809986	797129
252	813055	793773
253	816054	790352
254	819192	787067
255	822177	783638
256	825189	780237
257	828115	776759
258	831137	773375
259	834068	769909
260	837044	766489
261	840019	763071
262	842963	759628
263	845939	756218
264	848903	752801
265	851989	749494
266	854952	746082
267	858033	742775
268	861063	739426
269	864148	736126
270	867147	732756
271	870194	729427
272	873086	725973
273	876160	722672
274	879028	719204
275	882159	715955
276	884975	712452
277	888060	709170
278	890931	705719
279	894067	702481
280	896890	699000
281	899973	695724
282	902855	692295
283	905945	689029
284	908914	685672
285	911868	682306
286	914847	678963
287	917830	675625
288	920864	672326
289	923880	669017
290	927032	665807
291	930001	662466
292	933058	659191
293	935970	655815
294	939070	652574
295	942043	649246
296	945165	646022
297	948128	642691
298	951195	639432
299	954150	636100
300	957167	632812
301	960061	629444
302	963070	626154
303	966004	622818
304	969079	619575
305	971938	616196
306	974951	612917
307	977809	609543
308	980931	606336
309	983744	602940
310	987000	599817
311	989884	596469
312	993029	593279
313	995925	589943
314	998961	586691
315	1001964	583422
316	1004987	580166
317	1008085	576954
318	1011082	573686
319	1014179	570475
320	1017163	567203
321	1020225	563975
322	1023217	560710
323	1026433	557568
324	1029527	554361
325	1032556	551118
